State or jurisdiction,Adjusted cohort (Public),Completers (Public),Adjusted cohort (Nonprofit Private),Completers (Nonprofit Private),Adjusted cohort (For-profit Private),Completers (For-profit Private)
Alabama,19556,9643,4666,2041,669,336
Alaska,2240,593,62,32,277,93
Arizona,17098,9651,540,286,61268,14150
Arkansas,12309,4967,2705,1551,320,57
California,82721,53459,24037,17350,12477,5736
Colorado,21343,11288,2722,1857,2924,768
Connecticut,9085,5557,9439,6739,445,112
Delaware,4381,3192,882,304,0,0
District of Columbia,345,52,8203,6168,28,13
Florida,68848,33859,17322,9353,16384,8375
Georgia,34963,15402,10027,5730,2885,658
Hawaii,2435,1140,1357,565,60,17
Idaho,5224,1970,2170,1306,550,226
Illinois,25761,16186,25492,16302,4969,1491
Indiana,32760,17349,14070,9626,1901,688
Iowa,9873,6872,8138,5166,1314,453
Kansas,11752,6349,2548,1184,86,3
Kentucky,17242,7967,4971,2577,1321,482
Louisiana,20782,8967,2740,1553,357,84
Maine,4230,2017,3286,2216,208,60
Maryland,15652,9485,5877,4299,418,118
Massachusetts,14663,8343,35901,27008,966,325
Michigan,38450,23288,13411,5644,1564,354
Minnesota,16489,9592,10197,7240,1738,730
Mississippi,8580,4283,1584,862,0,0
Missouri,18046,9958,11082,6737,2683,1207
Montana,5300,2462,657,332,0,0
Nebraska,7566,4294,3084,1863,588,226
Nevada,6751,2548,41,20,698,204
New Hampshire,5339,3678,3656,2528,917,310
New Jersey,16699,11248,8532,5481,1103,343
New Mexico,6880,2829,166,79,989,344
New York,49277,25852,64209,43276,4762,2144
North Carolina,30709,18495,15205,8708,740,241
North Dakota,5878,2826,874,378,56,19
Ohio,45434,23887,21496,13948,2734,818
Oklahoma,15147,6497,3349,1613,1506,685
Oregon,9615,5353,3990,2686,1264,579
Pennsylvania,46867,28978,40867,29288,2748,950
Rhode Island,3822,2189,8379,5924,0,0
South Carolina,15383,9380,5960,3087,1111,590
South Dakota,4631,2241,1133,579,191,52
Tennessee,18162,8690,10527,6187,1417,442
Texas,64588,31406,17270,10423,5132,2703
Utah,10216,4350,3507,2589,2113,1009
Vermont,3483,2156,2807,1910,238,129
Virginia,28608,20083,10640,5732,2964,1100
Washington,16694,10198,5504,3951,928,364
West Virginia,10803,4909,1524,765,80,10
Wisconsin,26190,15092,8327,5237,931,296
Wyoming,1543,840,0,0,104,48