Year,State,Total Population,Total Employed Civilians,Total Unemployed Civilians,Total People in the Military,Total Population in Poverty
2016,Alabama,4841164,2042025.0,184479.0,12150.0,868666.0
2016,Alaska,736855,353954.0,30139.0,16382.0,72826.0
2016,Arizona,6728577,2879372.0,249972.0,17373.0,1165636.0
2016,Arkansas,2968472,1266552.0,93190.0,4445.0,542431.0
2016,California,38654206,17577142.0,1683726.0,130452.0,6004257.0
2016,Colorado,5359295,2692529.0,171695.0,33135.0,637938.0
2016,Connecticut,3588570,1793688.0,155005.0,8367.0,360464.0
2016,Delaware,934695,438292.0,33669.0,2860.0,109448.0
2016,District of Columbia,659009,348225.0,33326.0,3505.0,112060.0
2016,Florida,19934451,8755427.0,802016.0,56151.0,3139258.0
2016,Georgia,10099320,4489112.0,419113.0,48862.0,1746894.0
2016,Hawaii,1413673,664616.0,38768.0,38777.0,148577.0
2016,Idaho,1635483,731170.0,48385.0,3459.0,244585.0
2016,Illinois,12851684,6134121.0,545635.0,17244.0,1753731.0
2016,Indiana,6589578,3085179.0,228929.0,2844.0,957694.0
2016,Iowa,3106589,1587178.0,75289.0,1703.0,369828.0
2016,Kansas,2898292,1408918.0,79000.0,17329.0,373162.0
2016,Kentucky,4411989,1914189.0,156509.0,14735.0,804139.0
2016,Louisiana,4645670,2025728.0,168326.0,15085.0,889570.0
2016,Maine,1329923,652638.0,41620.0,1770.0,174405.0
2016,Maryland,5959902,3005753.0,216086.0,28072.0,576835.0
2016,Massachusetts,6742143,3468864.0,252347.0,4627.0,740836.0
2016,Michigan,9909600,4449717.0,412934.0,3718.0,1575066.0
2016,Minnesota,5450868,2864441.0,145853.0,2228.0,577196.0
2016,Mississippi,2989192,1212650.0,128840.0,10307.0,645553.0
2016,Missouri,6059651,2835183.0,200143.0,19699.0,897755.0
2016,Montana,1023391,490742.0,29382.0,3475.0,148677.0
2016,Nebraska,1881259,977353.0,42544.0,4840.0,227021.0
2016,Nevada,2839172,1302162.0,133525.0,7934.0,417257.0
2016,New Hampshire,1327503,706801.0,37727.0,1675.0,109690.0
2016,New Jersey,8915456,4322619.0,368870.0,8124.0,949341.0
2016,New Mexico,2082669,876210.0,81175.0,8992.0,426814.0
2016,New York,19697457,9340878.0,759224.0,22976.0,2967564.0
2016,North Carolina,9940828,4460824.0,404584.0,82857.0,1631704.0
2016,North Dakota,736162,395584.0,11250.0,6097.0,79314.0
2016,Ohio,11586941,5425647.0,423956.0,8117.0,1732839.0
2016,Oklahoma,3875589,1733000.0,110120.0,18115.0,621155.0
2016,Oregon,3982267,1832620.0,160797.0,2520.0,614223.0
2016,Pennsylvania,12783977,6043693.0,468440.0,4782.0,1647762.0
2016,Puerto Rico,3529385,1055106.0,226880.0,1204.0,1577075.0
2016,Rhode Island,1054491,520482.0,43600.0,3203.0,140161.0
2016,South Carolina,4834605,2129323.0,194454.0,30595.0,806422.0
2016,South Dakota,851058,434693.0,18636.0,2607.0,115300.0
2016,Tennessee,6548009,2937131.0,238372.0,17933.0,1100169.0
2016,Texas,26956435,12371392.0,848131.0,92754.0,4397307.0
2016,Utah,2948427,1374146.0,73114.0,4079.0,338808.0
2016,Vermont,626249,327237.0,17087.0,406.0,69673.0
2016,Virginia,8310301,4036456.0,255340.0,111328.0,921664.0
2016,Washington,7073146,3331321.0,244692.0,47291.0,883256.0
2016,West Virginia,1846092,750412.0,61215.0,853.0,318060.0
2016,Wisconsin,5754798,2910339.0,169426.0,2421.0,713472.0
2016,Wyoming,583029,293598.0,15118.0,2388.0,65762.0
2017,Alabama,4850771,2055509.0,165391.0,12309.0,849699.0
2017,Alaska,738565,354045.0,29548.0,17029.0,73380.0
2017,Arizona,6809946,2953891.0,225911.0,17314.0,1128046.0
2017,Arkansas,2977944,1276536.0,85128.0,4438.0,524211.0
2017,California,38982847,17993915.0,1491146.0,127716.0,5773408.0
2017,Colorado,5436519,2760076.0,152856.0,33422.0,612143.0
2017,Connecticut,3594478,1805086.0,140712.0,8566.0,350783.0
2017,Delaware,943732,441513.0,30245.0,3016.0,111304.0
2017,District of Columbia,672391,357701.0,31279.0,3441.0,111025.0
2017,Florida,20278447,9018570.0,699117.0,55075.0,3070972.0
2017,Georgia,10201635,4606329.0,372581.0,47396.0,1679030.0
2017,Hawaii,1421658,671758.0,34380.0,40302.0,143148.0
2017,Idaho,1657375,748658.0,42328.0,3676.0,236000.0
2017,Illinois,12854526,6181653.0,491310.0,17232.0,1698613.0
2017,Indiana,6614418,3124295.0,202199.0,2878.0,933540.0
2017,Iowa,3118102,1599718.0,69018.0,1712.0,361343.0
2017,Kansas,2903820,1420045.0,71009.0,18430.0,361285.0
2017,Kentucky,4424376,1938150.0,140717.0,14705.0,783586.0
2017,Louisiana,4663461,2031238.0,157186.0,15631.0,887574.0
2017,Maine,1330158,658693.0,36790.0,1859.0,166904.0
2017,Maryland,5996079,3040792.0,198375.0,27902.0,566966.0
2017,Massachusetts,6789319,3525672.0,224856.0,4953.0,727546.0
2017,Michigan,9925568,4524874.0,361624.0,3844.0,1510841.0
2017,Minnesota,5490726,2904103.0,130510.0,2083.0,560995.0
2017,Mississippi,2986220,1221828.0,117786.0,10250.0,620007.0
2017,Missouri,6075300,2867393.0,175919.0,19345.0,861679.0
2017,Montana,1029862,497995.0,25076.0,3317.0,144198.0
2017,Nebraska,1893921,987216.0,38881.0,4908.0,220330.0
2017,Nevada,2887725,1341358.0,116285.0,7677.0,405263.0
2017,New Hampshire,1331848,713424.0,33566.0,1789.0,104470.0
2017,New Jersey,8960161,4388024.0,328167.0,8051.0,938252.0
2017,New Mexico,2084828,879201.0,73710.0,9212.0,420293.0
2017,New York,19798228,9467631.0,685368.0,23203.0,2908471.0
2017,North Carolina,10052564,4571020.0,352287.0,96524.0,1579871.0
2017,North Dakota,745475,400454.0,11085.0,6354.0,79374.0
2017,Ohio,11609756,5488180.0,378735.0,8340.0,1683890.0
2017,Oklahoma,3896251,1746419.0,105375.0,17249.0,612714.0
2017,Oregon,4025127,1885983.0,138139.0,2625.0,587248.0
2017,Pennsylvania,12790505,6096977.0,422016.0,4673.0,1623537.0
2017,Puerto Rico,3468963,1040136.0,220597.0,1487.0,1543220.0
2017,Rhode Island,1056138,526071.0,38634.0,3315.0,136126.0
2017,South Carolina,4893444,2181046.0,170257.0,30597.0,790657.0
2017,South Dakota,855444,438339.0,17018.0,2666.0,114885.0
2017,Tennessee,6597381,2996610.0,210756.0,18183.0,1072360.0
2017,Texas,27419612,12689069.0,784888.0,91081.0,4291384.0
2017,Utah,2993941,1412214.0,64314.0,4129.0,324856.0
2017,Vermont,624636,327264.0,14969.0,412.0,68144.0
2017,Virginia,8365952,4084035.0,236648.0,110817.0,906838.0
2017,Washington,7169967,3418123.0,218821.0,48875.0,859950.0
2017,West Virginia,1836843,746958.0,57659.0,1110.0,317089.0
2017,Wisconsin,5763217,2939880.0,145271.0,2568.0,692719.0
2017,Wyoming,583200,293633.0,14459.0,2656.0,63398.0
2018,Alabama,4864680,2076708.0,147898.0,12558.0,829400.0
2018,Alaska,738516,351152.0,28067.0,17134.0,77865.0
2018,Arizona,6946685,3045978.0,210214.0,18334.0,1092192.0
2018,Arkansas,2990671,1292263.0,75774.0,4322.0,510337.0
2018,California,39148760,18309012.0,1321502.0,127777.0,5487141.0
2018,Colorado,5531141,2839374.0,139326.0,33612.0,590504.0
2018,Connecticut,3581504,1810445.0,125909.0,8489.0,348449.0
2018,Delaware,949495,450946.0,28501.0,3176.0,109798.0
2018,District of Columbia,684498,369194.0,29373.0,3173.0,109497.0
2018,Florida,20598139,9253932.0,622978.0,54889.0,2983851.0
2018,Georgia,10297484,4721065.0,322854.0,47213.0,1607714.0
2018,Hawaii,1422029,677446.0,32036.0,40045.0,137516.0
2018,Idaho,1687809,768701.0,37672.0,4057.0,228882.0
2018,Illinois,12821497,6225964.0,437139.0,16894.0,1635603.0
2018,Indiana,6637426,3164414.0,180969.0,3094.0,908359.0
2018,Iowa,3132499,1609481.0,65216.0,1642.0,353634.0
2018,Kansas,2908776,1428660.0,65038.0,18007.0,350280.0
2018,Kentucky,4440204,1959442.0,128358.0,14088.0,772080.0
2018,Louisiana,4663616,2031115.0,149850.0,16076.0,878394.0
2018,Maine,1332813,665188.0,32203.0,1789.0,161743.0
2018,Maryland,6003435,3051333.0,181089.0,29233.0,553496.0
2018,Massachusetts,6830193,3570257.0,203464.0,4921.0,710305.0
2018,Michigan,9957488,4598487.0,321008.0,3821.0,1457008.0
2018,Minnesota,5527358,2931458.0,119218.0,2329.0,547442.0
2018,Mississippi,2988762,1228537.0,110036.0,10767.0,599795.0
2018,Missouri,6090062,2888094.0,155958.0,18444.0,837930.0
2018,Montana,1041732,507249.0,22433.0,3172.0,139063.0
2018,Nebraska,1904760,993836.0,36545.0,5229.0,213790.0
2018,Nevada,2922849,1370603.0,101748.0,7931.0,393431.0
2018,New Hampshire,1343622,724017.0,30392.0,1830.0,102352.0
2018,New Jersey,8881845,4390602.0,285084.0,8426.0,904132.0
2018,New Mexico,2092434,869551.0,67239.0,9453.0,399286.0
2018,New York,19618453,9445023.0,602636.0,22479.0,2797985.0
2018,North Carolina,10155624,4665822.0,312610.0,93073.0,1523949.0
2018,North Dakota,752201,400841.0,11689.0,6074.0,79270.0
2018,Ohio,11641879,5549577.0,343232.0,8498.0,1645986.0
2018,Oklahoma,3918137,1761328.0,99087.0,17891.0,607810.0
2018,Oregon,4081943,1934643.0,123485.0,2907.0,565247.0
2018,Pennsylvania,12791181,6151998.0,379765.0,5083.0,1578949.0
2018,Puerto Rico,3386941,1028500.0,209950.0,1583.0,1495160.0
2018,Rhode Island,1056611,527972.0,34479.0,3546.0,133055.0
2018,South Carolina,4955925,2227307.0,153242.0,31434.0,770632.0
2018,South Dakota,864289,442773.0,16252.0,2725.0,113144.0
2018,Tennessee,6651089,3047809.0,191544.0,18045.0,1046508.0
2018,Texas,27885195,12985624.0,743006.0,89701.0,4213938.0
2018,Utah,3045350,1452040.0,58958.0,3940.0,309904.0
2018,Vermont,624977,328742.0,13878.0,548.0,67034.0
2018,Virginia,8413774,4118723.0,217670.0,114513.0,893580.0
2018,Washington,7294336,3513856.0,198330.0,48850.0,821621.0
2018,West Virginia,1829054,742615.0,53750.0,1058.0,315464.0
2018,Wisconsin,5778394,2964540.0,124792.0,2998.0,668220.0
2018,Wyoming,581836,290963.0,13685.0,2837.0,63311.0
2019,Alabama,4876250,2097384.0,132095.0,13306.0,795989.0
2019,Alaska,737068,347774.0,26808.0,17756.0,76933.0
2019,Arizona,7050299,3130658.0,195905.0,19592.0,1043764.0
2019,Arkansas,2999370,1303490.0,70481.0,4751.0,496260.0
2019,California,39283497,18591241.0,1199233.0,131073.0,5149742.0
2019,Colorado,5610349,2904589.0,131371.0,33671.0,565873.0
2019,Connecticut,3575074,1815636.0,116456.0,8733.0,344146.0
2019,Delaware,957248,455620.0,26481.0,3432.0,109400.0
2019,District of Columbia,692683,376871.0,27967.0,3066.0,107140.0
2019,Florida,20901636,9495353.0,561448.0,59225.0,2870487.0
2019,Georgia,10403847,4834622.0,290560.0,49356.0,1528558.0
2019,Hawaii,1422094,680258.0,30269.0,41537.0,130649.0
2019,Idaho,1717750,792237.0,35879.0,4170.0,221256.0
2019,Illinois,12770631,6250862.0,394981.0,17674.0,1557873.0
2019,Indiana,6665703,3202509.0,161351.0,3661.0,867996.0
2019,Iowa,3139508,1613902.0,62573.0,1666.0,348122.0
2019,Kansas,2910652,1440453.0,61002.0,18335.0,337739.0
2019,Kentucky,4449052,1978477.0,116945.0,13747.0,747010.0
2019,Louisiana,4664362,2033758.0,141020.0,17212.0,871467.0
2019,Maine,1335492,670417.0,28922.0,1931.0,153131.0
2019,Maryland,6018848,3073886.0,164396.0,30952.0,539991.0
2019,Massachusetts,6850553,3612375.0,183355.0,5201.0,680962.0
2019,Michigan,9965265,4654930.0,293894.0,4179.0,1398527.0
2019,Minnesota,5563378,2958615.0,111115.0,2514.0,526065.0
2019,Mississippi,2984418,1235224.0,99733.0,11721.0,585786.0
2019,Missouri,6104910,2916000.0,139789.0,18850.0,810045.0
2019,Montana,1050649,512329.0,21513.0,3030.0,134605.0
2019,Nebraska,1914571,999212.0,34535.0,5751.0,206579.0
2019,Nevada,2972382,1406568.0,92426.0,8393.0,384690.0
2019,New Hampshire,1348124,729701.0,27430.0,1950.0,98682.0
2019,New Jersey,8878503,4422491.0,258093.0,9265.0,869081.0
2019,New Mexico,2092454,888646.0,63458.0,9895.0,392065.0
2019,New York,19572319,9498320.0,547509.0,23390.0,2681277.0
2019,North Carolina,10264876,4764135.0,281344.0,94310.0,1467591.0
2019,North Dakota,756717,402322.0,11406.0,6563.0,78198.0
2019,Ohio,11655397,5595444.0,314483.0,8544.0,1588343.0
2019,Oklahoma,3932870,1772123.0,94834.0,18971.0,598373.0
2019,Oregon,4129803,1979043.0,114559.0,3090.0,533527.0
2019,Pennsylvania,12791530,6199456.0,347378.0,6555.0,1539183.0
2019,Puerto Rico,3318447,1028513.0,196934.0,1845.0,1449091.0
2019,Rhode Island,1057231,533878.0,30455.0,3593.0,125826.0
2019,South Carolina,5020806,2275531.0,139526.0,32797.0,741650.0
2019,South Dakota,870638,443891.0,15736.0,2663.0,110553.0
2019,Tennessee,6709356,3109872.0,172799.0,18830.0,996930.0
2019,Texas,28260856,13253631.0,708827.0,93394.0,4072194.0
2019,Utah,3096848,1497354.0,55539.0,4322.0,298537.0
2019,Vermont,624313,329028.0,12323.0,581.0,65652.0
2019,Virginia,8454463,4156018.0,200850.0,120385.0,865691.0
2019,Washington,7404107,3594279.0,187330.0,52871.0,785244.0
2019,West Virginia,1817305,740910.0,51910.0,1306.0,310044.0
2019,Wisconsin,5790716,2982359.0,111564.0,3190.0,639160.0
2019,Wyoming,581024,288503.0,13544.0,2957.0,62257.0
