Town,Meals,Meals Count,Rent,Rent Count,Alcohol,Alcohol Count,Past Meals,Past Meals count,Past Rent,Past Rent Count,Past Alcohol,Past Alchohol Count
ADDISON,0,0,90173.1,12,0,0,0,0,172233,15,0,0
ALBURGH,0,0,0,0,0,0,1077515.13,12,333596.32,19,0,0
ARLINGTON,871615.85,10,313732.79,10,0,0,1653105.07,10,1013081.44,16,0,0
BARNARD,0,0,0,0,0,0,0,0,7474505.3,14,0,0
BARRE,14101058.17,46,0,0,1420668.11,19,16480343.05,49,0,0,2809362.08,21
BARRE TOWN,4437612.69,14,0,0,0,0,4675486.93,16,0,0,0,0
BARTON,2300495.64,21,376563.64,10,0,0,2426861.14,25,571343.81,13,0,0
BENNINGTON,26317917.62,81,3296492.96,23,2225916.88,32,32141517.35,94,7243933.44,27,4199857.36,33
BERLIN,15925489.43,25,0,0,0,0,19636054.57,25,0,0,0,0
BETHEL,1661248.52,11,0,0,0,0,2629395.76,13,0,0,0,0
BRADFORD,4281326.71,14,0,0,0,0,5338532.44,14,0,0,0,0
BRANDON,3003238.86,26,0,0,423302.96,11,3837702.23,28,0,0,0,0
BRATTLEBORO,33966669.55,102,4868408.74,26,2840765.1,41,41448615.73,100,9867296.43,27,6096085.57,42
BRIDGEWATER,0,0,0,0,0,0,0,0,313543.08,13,0,0
BRIGHTON,1177924.8,11,0,0,0,0,1302843.73,13,389116.75,11,0,0
BRISTOL,3404909.08,19,0,0,0,0,4670006.09,20,0,0,0,0
BURKE,2089978.91,14,2032319.75,26,936969.35,10,3567727.82,18,4102280.82,39,0,0
BURLINGTON,74507552.54,219,18230026.8,26,18324508.2,122,127618259,236,53634054.09,44,44233463.37,129
CAMBRIDGE,5618535.14,22,5148648.01,14,1093802.38,12,7997966.42,24,8043936.66,24,2146100.78,11
CASTLETON,4546446.1,23,0,0,401846.12,10,6068137.87,28,1435288.05,14,0,0
CAVENDISH,0,0,0,0,0,0,0,0,3303921.79,12,0,0
CHARLOTTE,0,0,333210.62,10,0,0,0,0,719856.56,14,0,0
CHESTER,2591831.66,19,434329.96,15,0,0,3776065.92,17,968844.44,19,0,0
COLCHESTER,23323491.04,54,5876613.24,22,2041842.99,16,27753136.34,58,13882595.77,37,3329310.39,19
CRAFTSBURY,0,0,0,0,0,0,0,0,246142.79,11,0,0
DANVILLE,1739930.16,12,176730.85,12,0,0,2335850.49,11,265302.32,18,0,0
DERBY,8940856.58,29,431035.74,12,0,0,10463457.08,28,890667.24,18,0,0
DORSET,4056772.35,12,831143.54,12,0,0,5474551.13,14,2087135.15,20,0,0
DOVER,6465961.26,26,2187630.05,49,1864469.82,15,6963771.64,29,3382093.53,80,2377648.08,15
EDEN,0,0,0,0,0,0,0,0,122430.96,11,0,0
ELMORE,0,0,0,0,0,0,0,0,109018.3,12,0,0
ENOSBURG,4516004.6,20,0,0,0,0,4692810.56,22,0,0,0,0
ESSEX,36429036.93,91,0,0,2359611.62,29,42033583.08,104,0,0,4129281.23,31
FAIR HAVEN,5067414.78,17,0,0,0,0,5680984.38,17,0,0,0,0
FAIRFAX,3323347.95,11,0,0,0,0,3552376.96,12,0,0,0,0
FAIRLEE,0,0,1833212.02,10,0,0,2379763.68,11,4475959.53,12,0,0
FAYSTON,0,0,105586.77,11,0,0,0,0,211939.3,19,0,0
FERRISBURGH,0,0,0,0,0,0,7025450.58,11,5829011.7,15,0,0
GLOVER,0,0,0,0,0,0,0,0,84983.09,11,0,0
GRAND ISLE,0,0,199394,11,0,0,506167.03,11,442037.52,18,0,0
GREENSBORO,0,0,526954.08,15,0,0,0,0,711720.62,14,0,0
HARDWICK,2944594.95,19,0,0,0,0,3965291.33,23,0,0,0,0
HARTFORD,17734685.75,56,6920252.34,27,2250788.12,20,26233562.43,51,14940795.47,31,4519017.53,21
HARTLAND,0,0,0,0,0,0,0,0,372947.17,10,0,0
HINESBURG,3720192.84,13,0,0,0,0,5041475.8,16,0,0,0,0
ISLE LA MOTTE,0,0,93469.15,12,0,0,0,0,178684.1,13,0,0
JAMAICA,0,0,0,0,0,0,0,0,182094.58,12,0,0
JAY,0,0,2000556.68,15,0,0,0,0,4105833.28,28,0,0
JERICHO,3541567.72,12,0,0,0,0,4485222.37,14,0,0,0,0
JOHNSON,1723311.96,12,0,0,0,0,2228728.35,13,0,0,0,0
KILLINGTON,17021950.06,45,14116852.86,67,7153847.51,34,22663917.62,43,23305284.57,126,11608722.32,34
LEICESTER,0,0,0,0,0,0,0,0,81665.67,11,0,0
LONDONDERRY,2570232.2,16,853321.82,10,0,0,3353276.59,20,1430072.77,20,0,0
LUDLOW,11663608.87,45,4650303.25,56,3429040.21,24,15419178.15,43,9190941.61,109,5315146.97,24
LYNDON,11977652.38,30,0,0,605759.44,12,13721247.16,33,1148745.86,15,1251212.19,13
MANCHESTER,21537627.26,65,13410916.83,41,4124721.26,40,30845785.55,69,28037091.09,59,7650316.61,40
MIDDLEBURY,18797796.05,58,3438513.74,15,1669289.12,27,25918594.61,60,7438483.99,13,3943914.16,28
MILTON,10184710.5,29,0,0,0,0,10382365.52,28,0,0,0,0
MONTGOMERY,1106786.15,12,0,0,0,0,1585276.07,14,601632.23,16,0,0
MONTPELIER,15480173.01,61,0,0,1893772.3,28,25917481.84,66,3458227.45,17,4959620.16,29
MORRISTOWN,13900709.18,35,680320.46,11,854283.83,12,15513238.36,38,1099981.04,17,1495105.34,13
MOUNT HOLLY,0,0,77456.64,11,0,0,0,0,241122.79,19,0,0
NEWPORT,10961952.25,35,0,0,1025070.49,15,11532512.56,39,1033120.11,10,1783701.27,14
NORTH HERO,0,0,905129.04,23,0,0,0,0,1589880.29,28,0,0
NORTHFIELD,3082281.96,26,0,0,0,0,4334915.63,27,0,0,0,0
NORWICH,2131392.38,10,0,0,0,0,0,0,0,0,0,0
PERU,0,0,997321.43,11,0,0,0,0,1497783.74,17,0,0
PITTSFIELD,0,0,0,0,0,0,0,0,879985.57,14,0,0
PITTSFORD,1332452.93,10,0,0,0,0,0,0,0,0,0,0
PLYMOUTH,0,0,203333.49,10,0,0,0,0,408788.16,19,0,0
POULTNEY,2199200.74,17,0,0,0,0,2788160.73,16,142708.69,11,0,0
PUTNEY,0,0,0,0,0,0,1906099.86,11,0,0,0,0
RANDOLPH,6560443.62,25,0,0,0,0,7666247.64,23,0,0,0,0
RICHFORD,0,0,0,0,0,0,1399075.43,10,0,0,0,0
RICHMOND,3030285.48,13,0,0,0,0,3803996.99,15,0,0,0,0
ROCKINGHAM,4874044.59,37,0,0,488463.2,14,5803731.09,41,0,0,1165190.72,17
ROYALTON,2069741.11,11,0,0,0,0,4080407.51,13,0,0,0,0
RUTLAND,38005509.1,98,1508769.29,14,2973734.52,38,41993319.8,98,3822279.43,14,5316214.36,38
RUTLAND TOWN,13826063.71,17,0,0,0,0,18587843.37,22,0,0,0,0
SALISBURY,0,0,219852.21,11,0,0,0,0,300100.2,14,0,0
SHELBURNE,8033830.88,28,0,0,801473.03,16,12103711.8,35,5025820.89,14,2438816.06,20
SOUTH BURLINGTON,64445667.13,111,13750969.61,19,4138460.85,40,89535977.47,117,38211751.51,25,10313786.7,44
SOUTH HERO,3138895.78,16,514936.46,20,0,0,3202150.36,16,1120512.62,30,0,0
SPRINGFIELD,11311900.55,38,0,0,614322.63,16,11630037.92,38,0,0,1185324.69,17
ST ALBANS,18873291.78,46,0,0,1230610.65,16,19293798.3,55,3089967.02,10,2332292.61,19
ST ALBANS TOWN,9848380.64,24,0,0,0,0,11810013.85,26,0,0,0,0
ST JOHNSBURY,11550000.84,54,0,0,614945.83,25,13429222.28,55,3748551.33,10,1312342.04,22
STOWE,33678629.46,80,40772303.07,96,10993675.86,54,52189089.4,84,67794549.41,156,18101140.22,58
STRATTON,0,0,6697311.87,14,0,0,8998970.41,10,10556902.33,26,0,0
SWANTON,5660908.14,18,156404.93,10,0,0,6214614.29,18,236965.64,11,0,0
THETFORD,256157.58,10,0,0,0,0,591816.52,10,0,0,0,0
VERGENNES,3228191.44,23,0,0,354268.85,10,4656800.63,22,0,0,989083.98,11
WAITSFIELD,8084429.66,38,1462349.37,21,1858757.85,25,11814139.54,39,3586387.04,34,4448129.49,24
WALLINGFORD,1124600.16,11,0,0,0,0,1249171.89,12,0,0,0,0
WARDSBORO,0,0,0,0,0,0,0,0,187758.51,11,0,0
WARREN,4523674.43,22,3997897.52,23,1527803.34,13,6502437.53,27,7225633.02,48,2593320.33,13
WATERBURY,10693515.12,45,3601924.36,12,2020293.21,18,16996422.36,45,8254411.42,21,4189389.98,19
WEATHERSFIELD,2292426.2,11,0,0,0,0,2586693.25,10,0,0,0,0
WELLS,0,0,0,0,0,0,0,0,145041,11,0,0
WEST RUTLAND,1300511.38,10,0,0,0,0,1709974.97,13,0,0,0,0
WESTMORE,0,0,0,0,0,0,0,0,531570.36,10,0,0
WESTON,0,0,0,0,0,0,0,0,496034.91,11,0,0
WILLISTON,27712613.17,59,0,0,2190208.8,20,39769501.1,58,0,0,4164070.87,20
WILMINGTON,5972204.6,34,1021062.66,21,888545.98,17,7159624.32,31,1891943.13,53,1271727.77,16
WINDSOR,3683241.83,15,0,0,0,0,4509310.04,17,0,0,0,0
WINHALL,0,0,953985.74,29,0,0,0,0,1614962.22,35,0,0
WINOOSKI,8932709.8,34,0,0,2074125.91,17,14128630.65,39,0,0,5170930.52,21
WOODSTOCK,10292138.28,30,10584175.9,30,2484959.31,15,16282504.03,31,21156150.39,44,4583244.52,17