Country Name,Adjusted net national income per capita (current US$),Population (in thousands) total,Population Median Age,Percent Population over 65,Domestic general government health expenditure (% of general government expenditure),"Life expectancy at birth, female (years)","Life expectancy at birth, male (years)","Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",People using at least basic drinking water services (% of population),Mobile cellular subscriptions (per 100 people),Mobile cellular subscriptions,"Immunization, measles (% of children ages 12-23 months)",Military expenditure (% of GDP)
Afghanistan,473.3193708,37171.922,18.9,2.58492687,1.79805613,66.026,63.047,0.21,69.60193058,59.12084823,21976355,64,1.006746292
Albania,4326.330596,2866.376,32.9,13.74474249,9.70960903,80.167,76.816,7.17,94.43639147,94.17699827,2714878,94,1.16126613
Algeria,3219.975007,42228.415,28.1,6.36249549,10.73443604,77.938,75.494,0.95,94.03741308,111.6647921,47154264,80,5.467824356
Andorra,,77.008,44.3,,18.59891129,,,11.02,100.0000012,107.2825494,82614,99,
Angola,2000.546817,30809.787,15.9,2.216373648,5.42673731,63.666,58.064,6.94,56.59174872,43.13051888,13288421,50,1.871775866
Antigua and Barbuda,,96.282,31.9,8.800191105,11.66205025,77.983,75.721,6.38,,,,96,
Argentina,9676.811107,44494.502,31.7,11.11778934,15.19464302,79.863,73.082,9.65,,132.0931513,58598041,94,0.745498855
Armenia,3685.765957,2951.741,35.1,11.25383291,5.26985884,78.354,71.215,5.55,99.95192387,121.259018,3579257,95,4.119886153
Australia,44300.56228,24982.688,38.7,15.65647379,17.9436779,84.9,80.7,10.51,99.96989482,111.012255,27640000,95,1.890622246
Austria,41712.20127,8840.521,44,19.00156111,15.49779797,84.1,79.4,11.96,100,123.5352681,10984000,94,0.744858294
Azerbaijan,3359.638152,9939.771,32.3,6.195182967,2.8122046,75.336,70.345,4.41,94.69388812,103.9214187,10339700,96,3.562401234
Bahrain,20217.33548,1569.44,32.3,2.426343154,7.21479273,78.285,76.312,1.09,100,133.3409369,2092714,99,4.07429483
Bangladesh,1626.320285,161376.713,26.7,5.15839048,2.97787333,74.291,70.637,0.019,97.47252486,100.2447125,161771617,97,1.263999785
Barbados,15113.48412,286.64,38.6,15.80274909,9.88513851,80.392,77.682,9.69,98.504449,114.8914496,329326,85,
Belarus,4975.785814,9483.499,40,14.84514313,10.60647964,79.4,69.2,11.45,96.51168256,122.925228,11619651,98,1.182261729
Belgium,39098.08554,11427.054,41.4,18.78874468,14.99570751,83.9,79.4,11.08,99.99999814,99.69668646,11447351,96,0.890644486
Belize,3572.21158,383.071,22.7,4.736458777,12.46295452,77.666,71.579,6.22,98.39929451,64.29904639,246311,97,1.294665671
Benin,1076.952733,11485.035,18.2,3.253607847,2.9630444,63.003,59.914,2.81,65.17792394,82.38429039,9461872,71,0.63285754
Bermuda,,63.919,43.4,,,85.57,77.92,,99.90314002,,,,
Bhutan,2661.521424,754.396,27.6,6.002948054,7.61215687,71.816,71.123,0.43,97.25944181,93.26155771,703554,97,
Bolivia,2936.954498,11353.14,24.3,7.191948659,12.08904457,74.209,68.434,4.43,92.25507792,100.8164084,11445830,89,1.536596285
Bosnia and Herzegovina,5071.974326,3323.929,42.1,16.47032774,15.1389389,79.72,74.752,7.15,96.13317676,104.1256346,3461058,68,0.852548557
Botswana,5799.849919,2254.067,24.5,4.22387622,14.31576443,72.049,66.204,6.59,91.24445539,150.0055899,3381228,97,2.676088923
Brazil,7850.803551,209469.32,34.3,8.92283796,10.30064011,79.362,72.024,7.42,98.67949474,99.9717023,209410048,92,1.494203353
Brunei Darussalam,23891.50254,428.96,,4.873181649,7.13899708,76.96,74.593,0.48,99.90003241,131.9342228,565949,99,2.636612485
Bulgaria,7747.240112,7025.037,42.7,21.02191063,11.58668804,78.6,71.5,12.65,99.08322437,118.9396801,8387160,93,1.451568367
Burkina Faso,672.842517,19751.466,17.3,2.406980829,8.78477192,61.863,60.361,12.03,48.36939374,97.91227142,19339109,88,2.165041746
Burundi,203.6413233,11175.379,17,2.246939455,8.52141476,63.031,59.435,7.19,61.46062113,56.53470747,6317965,88,1.882161447
Cambodia,1254.230447,16249.795,25.3,4.568679174,5.20639992,71.629,67.312,6.64,70.25363342,119.4915172,19417123,84,2.224852375
Cameroon,1278.042799,25216.261,18.5,2.728878005,1.13430619,60.192,57.656,5.65,65.04524303,73.19019901,18455836,59,1.11159531
Canada,37739.01968,37065.178,42.2,17.23200682,19.54784775,84.2,80,8.94,99.22363119,89.57894095,33211000,90,1.324681094
Central African Republic,411.4279236,4666.375,19.7,2.825769468,4.23182249,54.991,50.649,2.38,39.22754832,27.41449024,1279261,49,1.43304054
Chad,525.8321755,15477.727,17.8,2.480519265,5.22710848,55.4,52.577,1.37,45.46056009,45.12373876,6984130,42,2.339468546
Chile,12221.56912,18729.166,34.4,11.5298033,18.32768631,82.381,77.552,9.07,99.99999739,134.4373213,25178981,93,1.859638618
China,8177.556975,1392730,37.4,10.92088352,8.85456753,79.051,74.549,7.05,93.33588436,115.5258122,1649301700,99,1.739533683
Colombia,5501.390053,49661.056,30,8.478047668,19.61733055,79.859,74.33,5.74,97.13676529,129.9086097,64513977,95,3.062105511
Comoros,1268.409848,832.322,19.9,3.007009306,2.59666514,65.9,62.399,0.69,80.187987,59.94110452,498903,90,
"Congo, Dem. Rep.",461.5363566,84068.092,,3.017840586,4.45876265,61.901,58.852,2,44.64476808,43.38221502,36470600,57,0.623912515
"Congo, Rep.",984.4672912,5244.363,,2.681717494,3.48379326,65.703,62.837,9.27,73.40681542,95.34053637,5000000,75,2.50811728
Costa Rica,10712.77756,4999.443,31.3,9.549843853,27.81505203,82.73,77.539,4.87,99.78441783,169.9306983,8495585,94,0
Cote d'Ivoire,2121.088478,25069.226,20.9,2.858943471,5.06648684,58.741,56.251,2.71,70.97608502,134.8579514,33807850,76,1.413435448
Croatia,12514.67111,4087.843,43,20.44542807,12.34643078,81.4,74.9,9.23,,105.5834549,4388476,93,1.574563806
Cuba,,11338.146,41.5,15.18621298,15.1891737,80.706,76.763,5.83,96.54950123,47.39153727,5373316,99,2.876207372
Cyprus,24739.37175,1189.262,36.8,13.71909638,6.64785194,82.913,78.735,10.81,99.76518389,137.0450965,1200378,90,1.780485709
Czech Republic,17411.91829,10629.928,42.1,19.42087472,15.54141617,82,76.2,14.45,99.8803606,119.1135078,12704262,96,1.08885095
Denmark,52447.84427,5793.636,42.2,19.81294648,16.63923073,82.9,79.1,10.26,99.99999788,125.4530064,7216215,95,1.277402227
Djibouti,2899.050436,958.923,23.9,4.527579378,4.31139421,68.778,64.629,0.43,75.9368505,41.19590415,395037,86,
Dominica,6555.315977,71.626,33.5,,6.99865007,,,11.18,,105.7884817,75771,84,
Dominican Republic,7204.533419,10627.147,28.1,7.082813478,15.40141296,77.196,70.805,6.68,96.54280852,84.10208352,8937647,95,0.69399111
Ecuador,4811.209793,17084.359,27.7,7.157289308,11.41695976,79.645,74.058,4.2,94.66226374,92.32327021,15772838,83,2.351887153
El Salvador,3257.585677,6420.74,27.1,8.287097749,18.84103775,77.635,68.229,3.89,97.58628003,146.9221022,9433495,81,1.128021932
Equatorial Guinea,4103.955263,1308.966,19.8,2.457894246,3.22592735,59.587,57.41,7.23,,45.16686721,591223,53,1.072141334
Eritrea,,,19.7,,2.3541069,68.162,63.79,1.44,,,,99,
Estonia,19074.58062,1321.977,42.7,19.62636264,12.5359621,82.7,74,9.23,99.5725742,145.4384241,1924034,87,2.008665863
Ethiopia,654.9041474,109224.41,17.9,3.501133126,4.7883606,68.165,64.35,2.36,46.63848073,,,55,0.63901528
Fiji,5151.95267,883.49,28.9,5.449637234,7.16549301,69.178,65.641,3.32,94.25716533,,,96,1.467606861
Finland,40882.39227,5515.525,42.5,21.72077907,13.33292294,84.5,79.1,10.78,99.99999668,129.4685668,7150000,96,1.362212408
France,34884.9683,67101.93,41.4,20.03462494,14.78782749,85.9,79.7,12.33,100,108.357357,70422000,90,1.845053399
French Polynesia,,277.673,31.9,8.290687247,,79.725,75.401,,100,109.0010408,302673,,
Gabon,5186.123764,2119.275,18.6,3.563907468,9.41520691,68.323,64.152,8.74,84.87081169,138.2809687,2930554,59,1.548722767
Georgia,3867.545377,3726.549,38.1,14.8654962,10.32494831,77.989,69.174,8.25,97.09507948,136.380667,5459239,98,1.897113157
Germany,40263.99041,82905.782,47.1,21.46196148,19.99492836,83.3,78.6,12.91,99.99999765,129.3242137,107500000,97,1.171816792
Ghana,1801.557466,29767.108,21.1,3.068897388,6.41646242,64.852,62.724,2.75,83.53055643,137.5171658,40934875,92,0.419660326
Greece,16411.64604,10732.882,44.5,21.65527395,8.53209305,84.4,79.3,10.18,100.0000023,115.6669118,12170757,97,2.713889458
Grenada,,111.449,31.5,9.622338469,7.73680878,74.941,70.064,9.48,,104.2439033,116184,84,
Guatemala,3772.873591,16346.95,22.1,4.812071977,16.67445374,76.937,71.119,2.45,93.24001364,118.6670871,20467520,87,0.390612897
Guinea,727.1093589,12414.292,18.9,2.926022684,4.11337852,61.666,60.477,1.11,63.87264074,96.76749212,12013000,47,1.636814205
Guinea-Bissau,737.1297515,1874.304,20.1,2.82371483,3.02345538,59.913,55.965,5.38,58.95852593,78.9888828,1480491,86,1.411144551
Guyana,5835.444919,779.007,26.2,6.450262963,10.69525909,72.972,66.783,6.89,95.54387996,,,98,1.593320009
Haiti,1358.244155,11123.183,23,4.949401624,4.78745461,65.832,61.5,2.73,65.89944466,59.3614343,6602878,69,0.001500802
Honduras,2156.47373,9587.523,23,4.69061717,10.71282387,77.378,72.771,3.76,94.73526399,79.15031642,7588554,89,1.607694472
Hungary,13225.60781,9775.564,42.3,19.15772839,9.92371368,79.6,72.7,11.35,100,103.4451716,10041939,99,1.116641387
Iceland,58614.26448,352.721,36.5,14.7949796,16.61697769,84.5,81.3,9.12,99.99999943,122.1696222,411361,93,
India,1752.686328,1352642.283,28.1,6.179955636,3.38738155,70.692,68.239,5.54,89.56293708,86.94256319,1176021869,93,2.433922067
Indonesia,3085.969812,267670.549,30.2,5.857165481,8.50778484,73.748,69.375,0.57,90.88029952,119.3387219,319434605,89,0.725001628
Iraq,4359.27789,38433.604,20,3.323599317,6.1852026,72.486,68.429,0.39,96.90240492,95.04015497,36527353,83,2.851599465
Ireland,41915.99976,4867.316,36.8,13.8657938,20.18994141,84.1,80.5,12.88,97.40528536,103.1710486,4971493,92,0.286862382
Israel,36077.16351,8882.8,29.9,11.97698924,12.06291294,84.8,80.9,4.21,99.99999709,127.6618693,10700000,98,5.33188467
Italy,28888.05341,60421.76,45.5,22.7516792,13.2356348,85.6,81.2,7.84,99.91703407,137.466947,83342486,93,1.359542751
Jamaica,4748.05576,2934.853,26,8.79665864,13.03939629,75.993,72.787,4.22,90.85157578,101.0265271,2964974,89,1.349094107
Japan,31783.59112,126529.1,47.3,27.57637018,23.64898872,87.32,81.25,7.96,99.03988571,141.4069924,179872794,97,0.940993692
Jordan,4014.37741,9965.322,22.5,3.846488854,12.39981174,76.175,72.73,0.69,98.96747344,87.62148885,8731760,92,4.635771938
Kazakhstan,6505.762547,18276.452,30.6,7.391844982,9.09603882,77.19,68.84,4.76,95.42023857,142.2824428,26065600,99,0.876907255
Kenya,1414.022197,51392.57,19.7,2.339186384,8.5486517,68.684,63.965,2.78,60.27174819,96.32021675,49501430,89,1.266408803
Kiribati,3017.264833,115.842,24.6,3.952797776,5.99429989,72.113,64.001,0.46,76.36123063,46.04176198,53338,84,
"Korea, Rep.",27232.86842,51606.633,,14.41855546,14.03574085,85.7,79.7,9.7,99.74793655,129.6727883,66355778,98,2.503035257
Kuwait,32213.91281,4137.314,29.3,2.550471151,8.91270447,76.467,74.672,0.003,100,171.6053322,7099848,98,5.099953149
Latvia,13748.62817,1927.174,43.6,20.04359752,9.59838486,79.7,70.1,12.77,98.67994007,107.3489247,2070180,98,2.062277415
Lebanon,6512.6221,6859.408,30.5,7.002368134,13.27205563,80.821,77.076,1.71,92.29360669,64.49805872,4424185,82,4.952761494
Lesotho,1183.731574,2108.327,24.2,4.901089821,11.58207703,56.954,50.582,4.59,71.500762,75.0424507,1582141,90,1.788602874
Liberia,427.6328649,4818.976,17.8,3.253429774,5.23001003,65.114,62.347,6.12,74.28973966,,,91,1.190659897
Lithuania,16198.34139,2801.543,43.7,19.70503398,12.70470142,80.7,70.9,13.22,97.99053454,163.8703457,4590441,92,1.967419142
Luxembourg,60224.55128,607.95,39.3,14.18307427,10.70209694,84.6,80.1,12.94,99.87330453,132.1649331,798600,99,0.586416144
Madagascar,458.1671775,26262.313,19.7,2.986717126,10.47829628,68.301,65.077,1.97,51.58697984,40.57034123,10654710,62,0.605686111
Malawi,330.2464285,18143.215,16.5,2.645435222,9.77548409,66.937,60.651,3.63,68.50613036,39.00579484,7076906,87,0.847025846
Malaysia,8009.273731,31528.033,28.5,6.671754625,8.46812534,78.167,74.075,0.85,97.08077154,134.5259947,42413400,96,0.96066525
Maldives,8200.923626,515.704,28.2,3.703287157,21.44111824,80.499,77.229,2.22,99.49723106,166.3642921,857934,99,
Mali,771.6923173,19077.755,15.8,2.507228969,5.43063307,59.649,58.137,1.28,79.30885105,115.0846727,21955565,70,2.806944707
Malta,,484.63,41.8,20.34933867,15.55481243,84.6,80.4,7.99,99.99999913,140.2039395,615843,96,0.452927414
Marshall Islands,,58.412,22.9,,12.08304214,,,,88.56056406,,,83,
Mauritania,1399.463453,4403.312,20.5,3.141112871,6.06559992,66.292,63.082,0.036,71.02984883,103.7060504,4566502,78,2.112482087
Mauritius,11112.66484,1265.303,35.3,11.47416864,9.96849728,77.72,71.27,4.35,99.86628593,151.3591149,1918000,99,0.162491818
Mexico,7520.70397,126190.782,28.3,7.223685324,10.46609402,77.844,72.118,5,99.26913243,95.2316028,120173510,97,0.477517407
Moldova,3876.312068,2708.214,36.7,11.46955152,11.95271397,76.074,67.53,11.43,89.76460943,89.75768174,3636931,93,0.32637511
Monaco,,38.682,53.1,,6.64633894,,,,100,84.50700584,32689,88,
Mongolia,2927.570322,3170.214,28.3,4.083541363,7.7346282,73.961,65.631,8.19,83.58826903,133.1783386,4222041,99,0.730921186
Montenegro,7650.477196,622.227,40.7,14.97492073,10.59890556,79.199,74.317,11.47,98.50629579,180.6938097,1134412,42,1.43362923
Morocco,2796.70933,36029.089,29.3,7.0129056,7.1744175,77.668,75.19,0.69,87.7897571,124.1715549,44737885,99,3.118587555
Mozambique,391.1649272,29496.009,17.2,2.890763967,5.55443811,62.966,57.114,2.3,58.40613698,47.71577872,14074248,87,1.335336546
Myanmar,1272.89072,53708.318,,5.784642148,3.48672128,69.874,63.761,5.12,79.60337231,113.8444919,61143964,93,2.307457006
Namibia,4647.194167,2448.3,21.2,3.636033166,10.65234089,66.18,60.357,5.43,83.61552518,103.3739724,2530906,82,3.140659563
Nauru,,10.678,26.4,,7.36450624,,,3.71,100,,,99,
Nepal,979.2165895,28095.712,24.1,5.727671183,4.58270121,71.9,68.989,2.05,89.1916007,139.4463618,39178451,91,1.539234028
Netherlands,44736.33128,17231.624,42.6,19.19619416,15.39665318,83.4,80.3,9.61,100,123.7312099,21108000,93,1.216674182
New Caledonia,,270.65,32,9.174210235,,80.2,74.8,,98.83861574,,,,
New Zealand,35146.77014,4900.6,37.9,15.65243031,19.26945305,83.6,80.2,10.63,99.99999614,134.9319679,6400000,92,1.23108197
Nicaragua,1782.824376,6465.502,25.7,5.247496637,18.76168633,77.77,70.741,5.18,81.52108535,115.0959067,7441527,99,0.622743176
Niger,537.0425644,22442.831,15.4,2.595006842,8.35071278,63.212,60.9,0.67,46.41606758,,,77,2.471940558
Nigeria,1586.547504,195874.685,18.4,2.747376977,4.43586874,55.244,53.45,10.84,74.07084579,88.18424125,172730603,54,0.506944514
Norway,65957.40892,5311.916,39.2,17.04921539,17.44207382,84.5,81.1,7.41,99.99999657,107.1737116,5720892,96,1.726244408
Oman,9964.048029,4829.476,25.6,2.39278547,7.97918415,80.134,75.89,0.78,91.52309333,139.9674164,6440889,99,9.54295828
Pakistan,1368.28421,212228.288,23.8,4.312774271,5.26019049,68.109,66.194,0.34,89.8748303,72.55706103,153986607,73,4.129131364
Palau,,17.911,33.4,,16.83393097,,,,99.65884587,,,90,
Panama,13143.01027,4176.868,29.2,8.10473302,21.37067223,81.593,75.235,7.98,93.87808825,137.0014238,5722370,98,0
Papua New Guinea,2310.409773,8606.324,23.1,3.445268851,7.38765907,65.576,63.039,1.39,43.79194871,,,37,0.37621677
Paraguay,5272.647765,6956.069,28.2,6.430212236,15.30024242,76.25,72.159,7.58,99.58883562,106.9525792,7439692,93,0.957366157
Peru,5729.320179,31989.265,28,8.088391528,15.31990433,79.28,73.834,6.38,92.00718508,131.7778873,42154771,85,1.174986356
Philippines,3279.594919,106651.394,23.5,5.122568768,6.60114717,75.387,67.123,6.86,93.27349616,126.2046486,134599017,67,0.819584674
Poland,13031.43384,37974.75,40.7,17.51781644,10.83347034,81.7,73.7,11.71,99.81493413,127.3299496,48285544,93,2.04957213
Portugal,18840.14227,10283.822,42.2,21.95386112,13.38758183,84.5,78.3,12.03,99.90912281,115.6330424,11859548,99,1.795969796
Puerto Rico,,3193.354,41.5,18.67484782,,83.382,76.346,,99.86789058,109.563442,3330286,,
Qatar,48313.35099,2781.682,33.2,1.370070339,6.29298306,81.876,78.981,1.59,99.56810194,141.8558268,3945978,99,
Romania,9941.856414,19473.97,41.1,18.33870033,12.68549156,79.2,71.7,11.74,100,116.0354133,22634000,90,1.805241726
Rwanda,630.4226697,12301.969,19,2.938196316,8.88277245,70.784,66.518,8.95,59.55451065,78.85411036,9700609,99,1.251740352
Samoa,3578.009307,196.128,24.4,4.80043645,11.00294399,75.325,71.197,2.66,91.83885866,,,31,
San Marino,,33.784,44.4,,23.36175537,,,,100,113.9558976,38500,89,
Sao Tome and Principe,1442.300581,211.032,18.4,2.925622654,10.76263237,72.583,67.783,5.88,78.18506249,77.05612525,162610,95,
Saudi Arabia,18968.18233,33702.757,27.5,3.314087925,10.86006737,76.615,73.799,0.19,100,122.5733112,41310584,98,9.469201025
Senegal,1280.464981,15854.324,18.8,3.086823506,4.25805283,69.627,65.501,0.76,82.39466139,104.450641,16559942,83,1.658240078
Serbia,5669.256181,6982.604,42.6,18.34579191,12.44849586,78.4,73.5,8.75,94.53003261,121.0748239,8431365,92,1.614937596
Seychelles,13505.57216,96.762,35.4,7.594923627,10.17943954,77.4,68.5,20.5,96.2508915,184.2980143,178946,96,1.380046268
Sierra Leone,455.0550631,7650.149,19,2.966556599,7.24886274,55.106,53.468,5.7,61.40860038,83.07224041,6355151,87,0.751992569
Singapore,49451.0366,5638.676,34.6,11.46338254,15.27605915,85.5,81.2,2.03,100,148.821563,8568400,95,2.835500815
Slovenia,20805.99521,2073.894,44.5,19.60688444,13.79918575,84.4,78.5,11.9,99.5,118.6742271,2465857,93,0.978150097
Solomon Islands,1975.548473,652.856,22.5,3.598955972,7.87741089,74.697,71.158,1.83,67.00625416,73.83377983,482029,93,
Somalia,,15008.225,18.1,2.873311134,,58.791,55.41,0.009,53.3865147,50.99230249,7653040,46,
South Africa,5182.176334,57792.52,27.1,5.318004821,13.33855534,67.398,60.463,9.52,93.10863459,159.9306644,92427958,70,0.984961398
Spain,25799.04103,46797.754,42.7,19.37850693,15.17711258,86.3,80.7,12.72,99.92606067,115.9942148,54161014,97,1.253935882
Sri Lanka,3676.832636,21670,32.8,10.47322104,8.28615856,80.121,73.415,4.1,92.20617472,142.6507235,30282984,99,1.842977531
Sudan,634.2286078,41801.532,19.9,3.581160614,6.81272984,66.947,63.277,0.51,60.32302546,72.00791416,30100412,88,1.783457419
Suriname,3638.337868,575.987,29.8,6.906405874,16.81441879,74.937,68.368,5.33,97.09310684,130.604698,752270,77,
Sweden,46185.71011,10175.214,41.2,20.09552821,18.59606934,84.3,80.9,8.93,99.82620051,126.6219452,12626282,97,1.032246092
Switzerland,64906.68897,8514.329,42.4,18.6232174,10.99238873,85.7,81.9,11.53,100,126.5434466,10788602,95,0.632561531
Tajikistan,878.6602048,9100.847,24.5,3.021883568,6.14373875,73.177,68.727,3.28,80.41158991,,,98,1.082302016
Tanzania,905.221074,56313.444,17.7,2.601298901,9.43556023,66.824,63.17,11.27,58.52723439,77.24135223,43497261,88,1.055236597
Thailand,5558.319625,69428.454,37.7,11.90089297,15.03463268,80.704,73.228,8.3,99.84851617,180.1826119,125098000,96,1.357573997
Timor-Leste,934.5172975,1267.975,,4.31648889,5.36462212,71.376,67.279,2.17,82.12297612,115.8141255,1468493,77,0.762205693
Togo,600.1251274,7889.095,19.8,2.869467284,4.25943756,61.612,59.892,2.46,67.1947934,77.88610174,6144507,71,1.963332431
Tonga,4597.771698,103.199,23,5.953546061,7.4700675,72.763,68.877,0.8,98.65836339,104.5941258,107938,99,
Trinidad and Tobago,13300.11481,1389.841,36,10.73496896,10.95408344,76.092,70.751,6.72,98.87517077,141.9293402,1972595,90,0.68778771
Tunisia,3220.464473,11565.203,31.6,8.315677641,13.63299656,78.536,74.493,2.12,96.51537319,127.7071968,14769594,89,2.113384861
Turkey,7982.413077,82340.09,30.9,8.483212734,9.30458641,80.336,74.447,2.05,96.72060939,97.30132788,80117999,96,2.524003026
Turkmenistan,4664.006507,5850.902,27.9,4.426633705,8.71407223,71.584,64.603,4.93,99.34508272,,,99,
Tuvalu,,11.505,25.7,,13.74044418,,,1.52,100,,,88,
Uganda,632.1247673,42729.032,15.8,1.940987102,5.13531923,65.173,60.655,15.09,52.61236008,57.27260732,24472033,86,1.225631547
Ukraine,2782.196609,44622.518,40.6,16.43468663,8.87156963,76.72,66.69,8.32,93.85588486,127.753861,53933592,91,3.192353265
United Arab Emirates,40019.94277,9630.966,30.3,1.085000196,7.2451582,79.164,77.133,3.9,99.97133,208.5048332,20081015,99,
United Kingdom,35834.96527,66460.344,40.5,18.39586626,19.19547844,83.1,79.5,11.45,100.0000015,117.499287,78891000,92,1.948755708
Uruguay,14308.11629,3449.29,35,14.81452705,20.22088432,81.359,73.958,6.92,99.47859894,149.9042265,5170624,97,2.133948636
Uzbekistan,1220.23863,32956.1,28.6,4.419136366,7.87418985,73.676,69.445,2.59,97.83094172,71.51737128,23226156,96,3.555482552
Vanuatu,2865.404456,292.675,22,3.640215256,6.97319746,71.99,68.847,2.25,91.20332244,85.90542572,251428,75,
Vietnam,2033.246114,95545.959,30.5,7.274978526,9.34860516,79.442,71.207,8.66,95.51497454,147.1952734,140639140,97,2.28456986
West Bank and Gaza,,4569.087,,3.133295558,,75.595,72.263,,97.28942549,89.97575355,4375502,,
Zambia,1173.273598,17351.714,16.8,2.0996773,7.0448103,66.447,60.533,6.54,63.80411115,89.15704437,15470270,94,1.409462391
Zimbabwe,1394.088773,14438.812,20,2.939521617,7.55918026,62.598,59.501,4.67,63.53877337,89.40486891,12908992,88,1.222794967
Cook Islands,,,36.5,,,,,,,,,,
Egypt,,,23.9,,,,,,,,,,
Kyrgyzstan,,,26.5,,,,,,,,,,
Russia,,,39.6,,,,,,,,,,
Saint Kitts and Nevis,,,35,,,,,,,,,,
Saint Lucia,,,34.8,,,,,,,,,,
Saint Vincent and the Grenadines,,,33.6,,,,,,,,,,
Slovakia,,,40.5,,,,,,,,,,
Syria,,,24.3,,,,,,,,,,
Taiwan,,,40.7,,,,,,,,,,
Venezuela,,,28.3,,,,,,,,,,